Tanggal,Expired,Partner,Lokasi,No1,Tagihan1,Harga1,Pajak1,Jumlah1,No2,Tagihan2,Harga2,Pajak2,Jumlah2,No3,Tagihan3,Harga3,Pajak3,Jumlah3,Sub Total,Diskon,Total,Xendit,AM,Merged Doc ID - InvSub,Merged Doc URL - InvSub,Link to merged Doc - InvSub,Document Merge Status - InvSub
18/01/2024,28/01/2024,"PP Darul Islam, Lamongan","Lamongan, Jawa TImur",1,Langganan Bulan Januari 2024,Rp500.000,Rp55.000,Rp555.000,,,,,,,,,,,Rp555.000,Rp0,Rp555.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e49,Imam Sangidin,18g9nFp__LsW3E0G0AIqG5s9tynDdZTAf,https://drive.google.com/file/d/18g9nFp__LsW3E0G0AIqG5s9tynDdZTAf/view?usp=drivesdk,"INVL/0051/I/2024 | PP Darul Islam, Lamongan",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 23 2024 3:21 AM
18/01/2024,23/01/2024,"YPP Nurul Faizah, Pasuruan","Pasuruan, Jawa Timur",1,Langganan Bulan Januari 2024,Rp147.000,Rp16.170,Rp163.170,,,,,,,,,,,Rp163.170,Rp0,Rp163.170,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e50,Imam Sangidin,1Rf-3gdU7BTZDISYmTrfyylPbx7a6ajz1,https://drive.google.com/file/d/1Rf-3gdU7BTZDISYmTrfyylPbx7a6ajz1/view?usp=drivesdk,"INVL/0052/I/2024 | YPP Nurul Faizah, Pasuruan",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:13 PM
18/01/2024,23/01/2024,"Ribath Al-Ulum Asyar’iyyah, Bangka","Bangka, Kep. Bangka Belitung",1,Langganan Bulan Januari 2024,Rp394.000,Rp43.340,Rp437.340,,,,,,,,,,,Rp437.340,Rp0,Rp437.340,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e51,Imam Sangidin,1MQCJinFClIMc-zLIqcT8S5c_y7ic4YkA,https://drive.google.com/file/d/1MQCJinFClIMc-zLIqcT8S5c_y7ic4YkA/view?usp=drivesdk,"INVL/0053/I/2024 | Ribath Al-Ulum Asyar’iyyah, Bangka",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:13 PM
18/01/2024,23/01/2024,"Yayasan Al Mahir Quran Camp, Bogor","Bogor, Jawa Barat",1,Langganan Bulan Januari 2024,Rp465.000,Rp51.150,Rp516.150,,,,,,,,,,,Rp516.150,Rp0,Rp516.150,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e52,Imam Sangidin,1GXzo_91LbvQx1fM4T-raQFlabWS-8lm6,https://drive.google.com/file/d/1GXzo_91LbvQx1fM4T-raQFlabWS-8lm6/view?usp=drivesdk,"INVL/0054/I/2024 | Yayasan Al Mahir Quran Camp, Bogor",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:13 PM
18/01/2024,23/01/2024,"SMP IT Al-Marwat, Cirebon","Cirebon, Jawa Barat",1,Langganan Bulan Februari 2024,Rp500.000,Rp55.000,Rp555.000,2,Langganan Bulan Maret 2024,Rp500.000,Rp55.000,Rp555.000,3,Langganan Bulan April 2024,Rp500.000,Rp55.000,Rp555.000,Rp1.665.000,Rp0,Rp1.665.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e53,Imam Sangidin,1tNbAoVg8zBuN4tzKvUgZLEgtCqAYdRainut19b7Vhmc,https://docs.google.com/document/d/1tNbAoVg8zBuN4tzKvUgZLEgtCqAYdRainut19b7Vhmc/edit?usp=drivesdk,"INVL/0055/I/2024 | SMP IT Al-Marwat, Cirebon",Document successfully created; Document successfully merged; Manually run by admin@cazh.id; Timestamp: Jan 21 2024 9:59 PM
18/01/2024,23/01/2024,"SD IT Khoiru Ummah, Leuwisadeng Bogor","Bogor, Jawa Barat",1,Langganan Bulan Januari 2024,Rp252.000,Rp27.720,Rp279.720,,,,,,,,,,,Rp279.720,Rp0,Rp279.720,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e54,Imam Sangidin,196HvIkfFWee2f9hlMydqyBKbB3XoRmCM,https://drive.google.com/file/d/196HvIkfFWee2f9hlMydqyBKbB3XoRmCM/view?usp=drivesdk,"INVL/0056/I/2024 | SD IT Khoiru Ummah, Leuwisadeng Bogor",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:13 PM
18/01/2024,23/01/2024,"Yayasan Miftahul Aziz, Cigombong Bogor","Bogor, Jawa Barat",1,Langganan Bulan Januari 2024,Rp1.276.000,Rp140.360,Rp1.416.360,,,,,,,,,,,Rp1.416.360,Rp0,Rp1.416.360,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e55,Imam Sangidin,1VpDWdM0WfL7NGIjfbFo-QzpT6PV3Ohml,https://drive.google.com/file/d/1VpDWdM0WfL7NGIjfbFo-QzpT6PV3Ohml/view?usp=drivesdk,"INVL/0057/I/2024 | Yayasan Miftahul Aziz, Cigombong Bogor",Document successfully created; Document successfully merged; PDF created; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:14 PM
18/01/2024,23/01/2024,"PPTQ Al-Mustaqimiyyah, Bogor","Bogor, Jawa Barat",1,Langganan Bulan Januari 2024,Rp561.000,Rp0,Rp561.000,,,,,,,,,,,Rp561.000,Rp283.050,Rp277.950,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e56,Imam Sangidin,1HrRGlLlX6ABe_cejOjO_zpLmXZRS6DkqalQ_mhnJPic,https://docs.google.com/document/d/1HrRGlLlX6ABe_cejOjO_zpLmXZRS6DkqalQ_mhnJPic/edit?usp=drivesdk,"INVL/0058/I/2024 | PPTQ Al-Mustaqimiyyah, Bogor",Document successfully created; Document successfully merged; Manually run by admin@cazh.id; Timestamp: Jan 18 2024 9:43 PM
18/01/2024,23/01/2024,PP Al-Azhar Plered Purwakarta,"Purwakarta, Jawa Barat",1,Langganan Bulan Januari 2024,Rp390.000,Rp42.900,Rp432.900,,,,,,,,,,,Rp432.900,Rp0,Rp432.900,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e57,Imam Sangidin,12zEXOZB6qaPQi5wSIRZopz6NfbQeE5uBbLvqakEv3xs,https://docs.google.com/document/d/12zEXOZB6qaPQi5wSIRZopz6NfbQeE5uBbLvqakEv3xs/edit?usp=drivesdk,INVL/0059/I/2024 | PP Al-Azhar Plered Purwakarta,Document successfully created; Document successfully merged; Manually run by admin@cazh.id; Timestamp: Jan 18 2024 5:05 AM
18/01/2024,23/01/2024,SMK Nasional Purwokerto,"Purwokerto, Jawa Tengah",1,Langganan Bulan Januari 2024,Rp500.000,Rp0,Rp500.000,,,,,,,,,,,Rp500.000,Rp0,Rp500.000,https://checkout.xendit.co/web/6594cca2744f6cc6485d75e58,Imam Sangidin,1XefcWw2qbCoumdNle9Vb6gMmjRl853VI--8VPqha_v8,https://docs.google.com/document/d/1XefcWw2qbCoumdNle9Vb6gMmjRl853VI--8VPqha_v8/edit?usp=drivesdk,INVL/0060/I/2024 | SMK Nasional Purwokerto,Document successfully created; Document successfully merged; Manually run by admin@cazh.id; Timestamp: Jan 17 2024 10:42 PM
